Year,SOIL_DATE,Plot,Core,Depth,SLSND,SLSLT,SLCLY,SLSND2,SLSLT2,SLCLY2,UTMX,UTMY
2016,2016-05-01,1003,2016-p10-3,60,60.5,15.7,23.9,69.5,17.4,13.1,408787.0004,3660465.268
2016,2016-05-01,1003,2016-p10-3,100,54.8,22.0,23.2,64.4,24.6,11.0,408787.0004,3660465.268
2016,2016-05-01,1003,2016-p10-3,140,49.8,21.3,28.9,55.5,26.3,18.2,408787.0004,3660465.268
2016,2016-05-01,1003,2016-p10-3,180,58.4,19.4,22.2,69.0,20.7,10.3,408787.0004,3660465.268
2016,2016-05-01,1004,2016-p10-4,20,42.4,34.4,23.2,52.0,36.4,11.6,408786.4016,3660425.265
2016,2016-05-01,1004,2016-p10-4,60,52.1,17.7,30.2,61.2,19.7,19.2,408786.4016,3660425.265
2016,2016-05-01,1004,2016-p10-4,100,47.1,24.0,28.9,54.5,30.4,15.1,408786.4016,3660425.265
2016,2016-05-01,1004,2016-p10-4,140,51.7,16.0,32.2,61.0,20.9,18.0,408786.4016,3660425.265
2016,2016-05-01,1004,2016-p10-4,180,65.7,13.0,21.2,75.6,14.0,10.4,408786.4016,3660425.265
2016,2016-05-01,1101,2016-p11-1,20,52.9,16.0,31.2,63.3,18.6,18.1,408773.9979,3660545.49
2016,2016-05-01,1101,2016-p11-1,60,57.8,14.0,28.2,67.5,16.7,15.8,408773.9979,3660545.49
2016,2016-05-01,1101,2016-p11-1,100,51.6,18.0,30.4,60.5,22.9,16.6,408773.9979,3660545.49
2016,2016-05-01,1101,2016-p11-1,140,49.5,27.4,23.2,60.8,31.0,8.1,408773.9979,3660545.49
2016,2016-05-01,1101,2016-p11-1,180,55.5,25.4,19.2,66.2,26.8,7.0,408773.9979,3660545.49
2016,2016-05-01,1102,2016-p11-2,20,50.5,20.4,29.2,59.9,22.5,17.6,408773.3965,3660505.487
2016,2016-05-01,1102,2016-p11-2,60,56.2,22.3,21.4,67.5,22.6,10.0,408773.3965,3660505.487
2016,2016-05-01,1102,2016-p11-2,100,45.5,26.0,28.4,55.1,30.7,14.2,408773.3965,3660505.487
2016,2016-05-01,1102,2016-p11-2,140,58.2,22.4,19.4,68.5,25.3,6.2,408773.3965,3660505.487
2016,2016-05-01,1102,2016-p11-2,180,71.5,12.3,16.2,82.1,11.8,6.1,408773.3965,3660505.487
2016,2016-05-01,1103,2016-p11-3,20,51.8,21.6,26.5,61.0,23.7,15.4,408772.7841,3660465.484
2016,2016-05-01,1103,2016-p11-3,60,53.5,21.0,25.5,63.1,24.3,12.6,408772.7841,3660465.484
2016,2016-05-01,1103,2016-p11-3,100,69.7,16.0,14.2,79.7,14.5,5.8,408772.7841,3660465.484
2016,2016-05-01,1103,2016-p11-3,140,52.4,23.4,24.2,62.6,25.2,12.2,408772.7841,3660465.484
2016,2016-05-01,1103,2016-p11-3,180,72.5,15.3,12.2,82.1,12.7,5.3,408772.7841,3660465.484
2016,2016-05-01,1104,2016-p11-4,20,58.4,20.4,21.2,69.0,20.7,10.3,408772.1705,3660425.482
2016,2016-05-01,1104,2016-p11-4,60,69.1,11.7,19.2,77.8,11.7,10.4,408772.1705,3660425.482
2016,2016-05-01,1104,2016-p11-4,100,58.5,25.0,16.5,69.1,23.5,7.4,408772.1705,3660425.482
2016,2016-05-01,1104,2016-p11-4,140,60.5,22.3,17.2,69.5,22.5,7.9,408772.1705,3660425.482
2016,2016-05-01,1104,2016-p11-4,180,55.8,20.3,23.9,66.8,21.2,12.0,408772.1705,3660425.482
2016,2016-05-01,1201,2016-p12-1,20,49.5,18.7,31.8,59.3,19.4,21.3,408759.7758,3660545.706
2016,2016-05-01,1201,2016-p12-1,60,59.2,18.0,22.8,68.7,19.6,11.6,408759.7758,3660545.706
2016,2016-05-01,1201,2016-p12-1,100,53.2,22.7,24.2,62.3,25.1,12.6,408759.7758,3660545.706
2016,2016-05-01,1201,2016-p12-1,140,43.5,25.3,31.2,52.1,31.8,16.2,408759.7758,3660545.706
2016,2016-05-01,1201,2016-p12-1,180,55.5,20.7,23.8,65.5,25.6,8.9,408759.7758,3660545.706
2016,2016-05-01,1202,2016-p12-2,20,54.2,22.0,23.8,64.3,24.8,10.9,408759.1692,3660505.703
2016,2016-05-01,1202,2016-p12-2,60,55.8,23.6,20.5,66.2,24.6,9.2,408759.1692,3660505.703
2016,2016-05-01,1202,2016-p12-2,100,57.5,24.7,17.8,69.4,24.7,5.9,408759.1692,3660505.703
2016,2016-05-01,1202,2016-p12-2,140,57.9,19.3,22.8,67.6,22.2,10.2,408759.1692,3660505.703
