Year,SOIL_DATE,Core,Depth,SLSND,SLSLT,SLCLY,SLTX,SLWP1,SLWP2,SLFC1,UTMX,UTMY
2014,5/1/2014,2014-p04-5,165,52.4,19.44,28.16,Sandy Clay Loam,0.089662094,0.106716418,0.150208097,408928.3164,3660526.92
2014,5/1/2014,2014-p04-6,15,50.4,21.44,28.16,Sandy Clay Loam,0.099312452,0.11351706,0.168386023,408928.784,3660556.123
2014,5/1/2014,2014-p04-6,45,50.4,19.44,30.16,Sandy Clay Loam,0.09406657,0.109872089,0.151438849,408928.784,3660556.123
2014,5/1/2014,2014-p04-6,75,50.4,22.72,26.88,Sandy Clay Loam,0.127198917,0.14338507,0.219557196,408928.784,3660556.123
2014,5/1/2014,2014-p04-6,105,48.4,18.72,32.88,Sandy Clay Loam,0.120842572,0.140423921,0.188782991,408928.784,3660556.123
2014,5/1/2014,2014-p04-6,135,48.4,22.72,28.88,Sandy Clay Loam,0.108747045,0.122590594,0.192239072,408928.784,3660556.123
2014,5/1/2014,2014-p04-6,165,54.4,18.72,26.88,Sandy Clay Loam,0.081824765,0.093410572,0.155963303,408928.784,3660556.123
2014,5/1/2014,2014-p05-1,15,50.4,19.44,30.16,Sandy Clay Loam,0.098409543,0.114518148,0.193219103,408901.3333,3660556.541
2014,5/1/2014,2014-p05-1,45,54.4,15.44,30.16,Sandy Clay Loam,0.0930529,0.12089007,0.154177719,408901.3333,3660556.541
2014,5/1/2014,2014-p05-1,75,48.4,23.44,28.16,Sandy Clay Loam,0.118046133,0.145737085,0.243341846,408901.3333,3660556.541
2014,5/1/2014,2014-p05-1,105,44.4,17.44,38.16,Clay Loam,0.134573304,0.148850784,0.239353891,408901.3333,3660556.541
2014,5/1/2014,2014-p05-1,135,45.84,26,28.16,Sandy Clay Loam,0.107526882,0.126228864,0.20612915,408901.3333,3660556.541
2014,5/1/2014,2014-p05-1,165,43.84,24,32.16,Clay Loam,0.115771812,0.125681405,0.205157268,408901.3333,3660556.541
2014,5/1/2014,2014-p05-2,15,49.84,20,30.16,Sandy Clay Loam,0.101220388,0.113874854,0.191785714,408900.9032,3660527.338
2014,5/1/2014,2014-p05-2,45,51.84,16,32.16,Sandy Clay Loam,0.097836616,0.115694489,0.168962042,408900.9032,3660527.338
2014,5/1/2014,2014-p05-2,75,59.12,16.72,24.16,Sandy Clay Loam,0.090143481,0.109916368,0.154449369,408900.9032,3660527.338
2014,5/1/2014,2014-p05-2,105,41.12,24.72,34.16,Clay Loam,0.132021467,0.129238885,0.225255973,408900.9032,3660527.338
2014,5/1/2014,2014-p05-2,135,43.12,28.72,28.16,Clay Loam,0.097207859,0.114059406,0.202770296,408900.9032,3660527.338
2014,5/1/2014,2014-p05-2,165,49.12,22.72,28.16,Sandy Clay Loam,0.087959866,0.100622407,0.187446012,408900.9032,3660527.338
2014,5/1/2014,2014-p05-3,15,51.12,20,28.88,Sandy Clay Loam,0.10215698,0.118865519,0.177302632,408900.4415,3660498.135
2014,5/1/2014,2014-p05-3,45,57.12,14,28.88,Sandy Clay Loam,0.098339303,0.117910926,0.176490176,408900.4415,3660498.135
2014,5/1/2014,2014-p05-3,75,49.12,26,24.88,Sandy Clay Loam,0.119122257,0.144693003,0.220472441,408900.4415,3660498.135
2014,5/1/2014,2014-p05-3,105,51.12,20,28.88,Sandy Clay Loam,0.08627451,0.10246996,0.190186537,408900.4415,3660498.135
2014,5/1/2014,2014-p05-3,135,50.4,26.72,22.88,Sandy Clay Loam,0.094393411,0.121374527,0.201991465,408900.4415,3660498.135
2014,5/1/2014,2014-p05-3,165,66.4,12.72,20.88,Sandy Clay Loam,0.079836233,0.098467558,0.129194105,408900.4415,3660498.135
2014,5/1/2014,2014-p05-4,15,50.4,20.72,28.88,Sandy Clay Loam,0.095038435,0.110845295,0.175684703,408899.9995,3660468.931
2014,5/1/2014,2014-p05-4,45,50.4,14.72,34.88,Sandy Clay Loam,0.121360623,0.144375,0.205607477,408899.9995,3660468.931
2014,5/1/2014,2014-p05-4,75,56.4,18.72,24.88,Sandy Clay Loam,0.125764994,0.139686684,0.151240778,408899.9995,3660468.931
2014,5/1/2014,2014-p05-4,105,46.4,22.72,30.88,Sandy Clay Loam,0.100447094,0.116264494,0.187672176,408899.9995,3660468.931
2014,5/1/2014,2014-p05-4,135,50.4,22.72,26.88,Sandy Clay Loam,0.085928705,0.106055177,0.175165434,408899.9995,3660468.931
2014,5/1/2014,2014-p05-4,165,56.4,16.72,26.88,Sandy Clay Loam,0.089881125,0.096342902,0.169755049,408899.9995,3660468.931
2014,5/1/2014,2014-p05-5,15,49.12,20.72,30.16,Sandy Clay Loam,0.111487631,0.115100671,0.17131178,408899.5806,3660439.728
2014,5/1/2014,2014-p05-5,45,51.12,16.72,32.16,Sandy Clay Loam,0.125,0.131455399,0.196622782,408899.5806,3660439.728
2014,5/1/2014,2014-p05-5,75,47.12,22.72,30.16,Sandy Clay Loam,0.129319558,0.129406707,0.199772985,408899.5806,3660439.728
2014,5/1/2014,2014-p05-5,105,45.12,16.72,38.16,Sandy Clay,0.128182995,0.135837136,0.196428571,408899.5806,3660439.728
2014,5/1/2014,2014-p05-5,135,49.12,22.72,28.16,Sandy Clay Loam,0.116788321,0.124353741,0.186774194,408899.5806,3660439.728
2014,5/1/2014,2014-p05-5,165,55.12,18.72,26.16,Sandy Clay Loam,0.096069869,0.099743308,0.181029324,408899.5806,3660439.728
2014,5/1/2014,2014-p05-6,15,49.12,24.72,26.16,Sandy Clay Loam,0.108134921,0.101913478,0.173357016,408899.11,3660410.525
2014,5/1/2014,2014-p05-6,45,47.12,18.72,34.16,Sandy Clay Loam,0.134031792,0.134552102,0.205066758,408899.11,3660410.525
2014,5/1/2014,2014-p05-6,75,53.12,26.72,20.16,Sandy Clay Loam,0.138332727,0.139823009,0.219538968,408899.11,3660410.525
2014,5/1/2014,2014-p05-6,105,49.12,20.72,30.16,Sandy Clay Loam,0.112270601,0.113488975,0.175929978,408899.11,3660410.525
2014,5/1/2014,2014-p05-6,135,55.12,22.72,22.16,Sandy Clay Loam,0.125192723,0.107601527,0.172520661,408899.11,3660410.525
2014,5/1/2014,2014-p05-6,165,49.12,18.72,32.16,Sandy Clay Loam,0.108277756,0.114603798,0.199001427,408899.11,3660410.525
2014,5/1/2014,2014-p06-1,15,50.4,23.44,26.16,Sandy Clay Loam,0.09068367,0.110871905,0.163534586,408870.6798,3660410.958
2014,5/1/2014,2014-p06-1,45,48.4,21.44,30.16,Sandy Clay Loam,0.104724409,0.122889674,0.175,408870.6798,3660410.958
2014,5/1/2014,2014-p06-1,75,46.4,25.44,28.16,Sandy Clay Loam,0.113983051,0.134529148,0.213928434,408870.6798,3660410.958
2014,5/1/2014,2014-p06-1,105,46.4,19.44,34.16,Sandy Clay Loam,0.112536657,0.121140143,0.199612403,408870.6798,3660410.958
2014,5/1/2014,2014-p06-1,135,50.4,23.44,26.16,Sandy Clay Loam,,0.117625232,0.200779727,408870.6798,3660410.958
2014,5/1/2014,2014-p06-1,165,50.4,21.44,28.16,Sandy Clay Loam,0.104087812,0.107257359,0.185185185,408870.6798,3660410.958
2014,5/1/2014,2014-p06-2,15,48.4,23.44,28.16,Sandy Clay Loam,0.089223638,0.103273709,0.17958611,408871.1366,3660440.161
2014,5/1/2014,2014-p06-2,45,50.4,21.44,28.16,Sandy Clay Loam,0.085523735,0.110936887,0.173608551,408871.1366,3660440.161
2014,5/1/2014,2014-p06-2,75,49.84,26,24.16,Sandy Clay Loam,0.096593186,0.116566866,0.209637562,408871.1366,3660440.161
2014,5/1/2014,2014-p06-2,105,49.84,22,28.16,Sandy Clay Loam,0.050879162,0.119391338,0.200222469,408871.1366,3660440.161
