Year,SOIL_DATE,Core,Depth,SLSND,SLSLT,SLCLY,SLTX,GWC15,GWC05,GWC.3,SLWP1,SLWP2,SLFC1,UTMX,UTMY
2009,2009-05-01,2009-p07-6,165.0,68.03999999999999,13.400000000000006,18.560000000000002,Sandy Loam,0.0814896755162242,,0.14632430531129076,0.13038348082595871,,0.23411888849806523,407505.1159999998,3660002.500000003
2009,2009-05-01,2009-p07-7,15.0,63.67999999999999,13.760000000000005,22.560000000000002,Sandy Clay Loam,0.07742639040348946,0.10173978819969733,0.15461624026696336,0.12388222464558314,0.16278366111951573,0.24738598442714138,407505.1159999998,3660029.000000003
2009,2009-05-01,2009-p07-7,45.0,61.67999999999999,15.760000000000005,22.560000000000002,Sandy Clay Loam,0.1255868544600939,0.10086342229199344,0.15426147319706904,0.20093896713615025,0.16138147566718952,0.24681835711531047,407505.1159999998,3660029.000000003
2009,2009-05-01,2009-p07-7,75.0,64.76,19.039999999999992,16.2,Sandy Loam,0.06372934697088925,0.0912124582869853,0.1519800214056365,0.1019669551534228,0.1459399332591765,0.2431680342490184,407505.1159999998,3660029.000000003
2009,2009-05-01,2009-p07-7,105.0,60.760000000000005,17.039999999999992,22.2,Sandy Clay Loam,0.0687940323249066,0.08935018050541534,0.1537216828478966,0.11007045171985058,0.14296028880866454,0.2459546925566346,407505.1159999998,3660029.000000003
2009,2009-05-01,2009-p07-7,135.0,58.4,17.400000000000006,24.2,Sandy Clay Loam,0.10087116001834033,0.10076335877862616,0.1669278996865206,0.16139385602934453,0.16122137404580186,0.267084639498433,407505.1159999998,3660029.000000003
2009,2009-05-01,2009-p07-7,165.0,58.040000000000006,19.75999999999999,22.2,Sandy Clay Loam,0.0858310626702996,0.09070208728652754,0.15120000000000006,0.13732970027247934,0.14512333965844407,0.2419200000000001,407505.1159999998,3660029.000000003
2009,2009-05-01,2009-p08-1,15.0,64.4,17.439999999999998,18.160000000000004,Sandy Loam,0.07737656595431076,0.11234567901234555,0.146459412780656,0.12380250552689723,0.17975308641975288,0.23433506044904961,407490.8919999998,3659870.000000003
2009,2009-05-01,2009-p08-1,45.0,64.03999999999999,17.80000000000001,18.160000000000004,Sandy Loam,0.08767123287671241,0.09277917716204874,0.15647339158061976,0.14027397260273985,0.148446683459278,0.2503574265289916,407490.8919999998,3659870.000000003
2009,2009-05-01,2009-p08-1,75.0,53.67999999999999,22.159999999999997,24.160000000000004,Sandy Clay Loam,0.09249702262802692,0.10287921348314631,0.1822660098522163,0.1479952362048431,0.16460674157303412,0.2916256157635461,407490.8919999998,3659870.000000003
2009,2009-05-01,2009-p08-1,105.0,57.68,20.159999999999997,22.160000000000004,Sandy Clay Loam,0.0825607064017659,0.09685002350728737,0.17730802415875752,0.13209713024282543,0.1549600376116598,0.283692838654012,407490.8919999998,3659870.000000003
2009,2009-05-01,2009-p08-1,135.0,58.4,17.439999999999998,24.160000000000004,Sandy Clay Loam,0.07940729483282688,0.092348284960422,0.16324981017463952,0.12705167173252302,0.14775725593667519,0.26119969627942324,407490.8919999998,3659870.000000003
2009,2009-05-01,2009-p08-1,165.0,60.4,17.799999999999997,21.8,Sandy Clay Loam,0.085286458333333,0.09652076318742978,0.1742685025817558,0.1364583333333328,0.15443322109988766,0.2788296041308093,407490.8919999998,3659870.000000003
2009,2009-05-01,2009-p08-2,15.0,68.03999999999999,15.760000000000005,16.2,Sandy Loam,0.07046476761619173,0.08131868131868127,0.14601272931486298,0.11274362818590677,0.13010989010989002,0.23362036690378077,407490.8919999998,3659896.500000003
2009,2009-05-01,2009-p08-2,45.0,70.03999999999999,13.760000000000005,16.2,Sandy Loam,0.0683701657458565,0.08174486803519024,0.1425877027536779,0.1093922651933704,0.13079178885630438,0.22814032440588466,407490.8919999998,3659896.500000003
2009,2009-05-01,2009-p08-2,75.0,64.4,13.039999999999992,22.560000000000002,Sandy Clay Loam,0.08941536110049661,0.09883720930232548,0.16607912260086186,0.1430645777607946,0.1581395348837208,0.265726596161379,407490.8919999998,3659896.500000003
2009,2009-05-01,2009-p08-2,105.0,66.4,11.399999999999991,22.2,Sandy Clay Loam,0.07780126849894306,0.08249232119350572,0.1572104018912528,0.1244820295983089,0.13198771390960914,0.2515366430260045,407490.8919999998,3659896.500000003
2009,2009-05-01,2009-p08-2,135.0,69.67999999999999,12.120000000000005,18.2,Sandy Loam,0.08175125920185973,0.08877590926867435,0.1533639782699544,0.13080201472297556,0.14204145482987895,0.24538236523192705,407490.8919999998,3659896.500000003
2009,2009-05-01,2009-p08-2,165.0,69.67999999999999,14.120000000000005,16.2,Sandy Loam,0.08923303834808266,0.09479865771812103,0.15927419354838693,0.14277286135693226,0.15167785234899367,0.2548387096774191,407490.8919999998,3659896.500000003
2009,2009-05-01,2009-p08-3,15.0,68.76,15.039999999999992,16.2,Sandy Loam,0.07965638422491211,0.08547008547008547,0.14655760054533062,0.12745021475985938,0.13675213675213677,0.234492160872529,407490.8919999998,3659923.000000003
2009,2009-05-01,2009-p08-3,45.0,70.03999999999999,11.400000000000006,18.560000000000002,Sandy Loam,0.07961783439490445,0.09180327868852438,0.15538160469667317,0.12738853503184713,0.146885245901639,0.24861056751467708,407490.8919999998,3659923.000000003
2009,2009-05-01,2009-p08-3,75.0,75.67999999999999,11.760000000000005,12.560000000000002,Sandy Loam,0.06498194945848365,0.0694006309148267,0.12457912457912453,0.10397111913357385,0.11104100946372274,0.19932659932659924,407490.8919999998,3659923.000000003
2009,2009-05-01,2009-p08-3,105.0,74.03999999999999,11.760000000000005,14.2,Sandy Loam,0.05739843458814757,0.06772100567721012,0.1262491672218521,0.09183749534103612,0.1083536090835362,0.20199866755496335,407490.8919999998,3659923.000000003
2009,2009-05-01,2009-p08-3,135.0,64.03999999999999,19.400000000000006,16.560000000000002,Sandy Loam,0.09702797202797196,0.10008305647840578,0.1925826630920466,0.15524475524475514,0.16013289036544925,0.3081322609472746,407490.8919999998,3659923.000000003
2009,2009-05-01,2009-p08-3,165.0,72.03999999999999,15.400000000000006,12.560000000000002,Sandy Loam,0.1431980906921242,0.08688906128782009,0.13572433192686356,0.22911694510739872,0.13902249806051215,0.2171589310829817,407490.8919999998,3659923.000000003
2009,2009-05-01,2009-p08-4,15.0,68.03999999999999,13.800000000000011,18.160000000000004,Sandy Loam,,0.12117177097203716,0.15908159081590798,,0.19387483355525947,0.25453054530545277,407490.8919999998,3659949.500000003
2009,2009-05-01,2009-p08-4,45.0,66.03999999999999,13.800000000000011,20.160000000000004,Sandy Clay Loam,,0.10888252148997121,0.17709251101321594,,0.17421203438395394,0.28334801762114553,407490.8919999998,3659949.500000003
2009,2009-05-01,2009-p08-4,75.0,70.4,17.439999999999998,12.160000000000002,Sandy Loam,,0.08017041053446942,0.13784665579119096,,0.12827265685515107,0.22055464926590554,407490.8919999998,3659949.500000003
2009,2009-05-01,2009-p08-4,105.0,64.03999999999999,13.800000000000011,22.160000000000004,Sandy Clay Loam,0.07964601769911478,0.09458987783595116,0.16918059518956402,0.12743362831858365,0.15134380453752186,0.2706889523033024,407490.8919999998,3659949.500000003
2009,2009-05-01,2009-p08-4,135.0,63.67999999999999,16.159999999999997,20.160000000000004,Sandy Clay Loam,0.09314516129032269,0.09550789154188587,0.18688118811881196,0.1490322580645163,0.1528126264670174,0.29900990099009916,407490.8919999998,3659949.500000003
2009,2009-05-01,2009-p08-4,165.0,63.67999999999999,14.52000000000001,21.8,Sandy Clay Loam,0.09646856158484043,0.10882140274764997,0.18615664845173044,0.1543496985357447,0.17411424439623996,0.2978506375227687,407490.8919999998,3659949.500000003
2009,2009-05-01,2009-p08-5,15.0,66.03999999999999,15.760000000000005,18.2,Sandy Loam,,0.0955580440462857,0.15602836879432602,,0.15289287047405714,0.24964539007092165,407490.8919999998,3659976.000000003
2009,2009-05-01,2009-p08-5,45.0,67.67999999999999,14.120000000000005,18.2,Sandy Loam,,0.09454822722073977,0.14764359351988182,,0.15127716355318366,0.23622974963181093,407490.8919999998,3659976.000000003
2009,2009-05-01,2009-p08-5,75.0,71.67999999999999,14.120000000000005,14.2,Sandy Loam,,0.08353894959464188,0.14450651769087505,,0.133662319351427,0.2312104283054001,407490.8919999998,3659976.000000003
